Review Text,Developer Reply Text
ओके,We are truly happy that you enjoyed our game. Thank you for the 5-star review! Happy gaming!
waw,We are truly happy that you enjoyed our game. Thank you for the 5-star review! Happy gaming!
best time pass,Thank you for the glowing 5-star review! We appreciate your support. Please stay tuned for more exciting updates. Happy Gaming.
When a game ends in online mode there is an error pop out and statistics shows an increase in both winning and cancelled game. Please look into this one.,We sincerely appreciate you bringing this to our attention. Our team is actively investigating and working on this. We would be grateful if you could share more details or any screenshots at support@callbreak.com. Your input is very important to us in resolving this.
very good,Thank you for the glowing 5-star review! We appreciate your support. Please stay tuned for more exciting updates. Happy Gaming.
Good 👍🏾,"Thank you for your kind 5-star review! Your support means everything to us. Keep playing, and don’t miss out on the upcoming features we’re working hard to bring you!"
good,Thank you for the glowing 5-star review! We appreciate your support. Please stay tuned for more exciting updates. Happy Gaming.
nice game,We are truly happy that you enjoyed our game. Thank you for the 5-star review! Happy gaming!
good game 🎮🎯,Thank you for the glowing 5-star review! We appreciate your support. Please stay tuned for more exciting updates. Happy Gaming.
lots of ads,"We understand your frustration regarding ads, and we sincerely apologize for that. However, these ads are essential for the survival of our dedicated team and for the continuous development and improvement of the game. We are constantly working on providing a better and less intrusive ad experience to our players. Thank you for your understanding."
good,We are truly happy that you enjoyed our game. Thank you for the 5-star review! Happy gaming!
amazing 🤩,We are delighted to hear you are enjoying our app! Thank you for showering us with a 5-star review!
very good game,We are truly happy that you enjoyed our game. Thank you for the 5-star review! Happy gaming!
बेस्ट गेम,"Wow, thank you so much! We are so happy that you think it's the ""Best Game."" Your feedback really motivates us!"
Very nice game,We are delighted to hear you are enjoying our app! Thank you for showering us with a 5-star review. Happy gaming!
nice,Thank you for the glowing 5-star review! We appreciate your support. Please stay tuned for more exciting updates. Happy Gaming.
bad,"We are sorry to hear you had a bad experience with our app. To help us make things better, could you please tell us what is bad in the app? Your feedback is important to us, and we will certainly try to improve it. Thank you for your feedback!"
time paas,Thank you so much for your 5-star review! We are happy to hear our app is a great way for you to time pass. Please keep updated to the latest version to enjoy all the new features and improvements we are constantly adding.
"super game hai , mujhe bahut pasand aayi mujhe nhi pata tha kyse khela jara h pr Mai aab Sikh r hun ,,,,, ye aap Mai aapkolg aasani se Sikh sakte h gameing Krna bhut hi km mb ka aap h mujhe such Mai Dil se kahte hai bhut hi pasand aayi hai,,,,,,, aapkolg vbhi download kr aapna time pas kr sakte hai,,, km mb maimaine eyse game pakr dhyani ho gyi yrrr ,,, so good 👍😊,,,,","We are thrilled you are enjoying the game so much and finding it easy to learn. Your kind words truly mean a lot to us! We are always looking to improve and make our game even better. We would love to know what we could do to make your experience a 5-star. If you have any suggestions or feedback, please reach out to us at support@callbreak.com."
good,Thank you for the glowing 5-star review! We appreciate your support. Please stay tuned for more exciting updates. Happy Gaming.
super,"We're glad you're enjoying the game so far! What can we do better to get a 5-star review? If there's anything you'd like to see improved or added, please reach out to us at support@callbreak.com."
good,"We're glad you're enjoying the game so far! What can we do better to get a 5-star review? If there's anything you'd like to see improved or added, please reach out to us at support@callbreak.com."
Good for time pass,Thank you for the glowing 5-star review! We appreciate your support. Please stay tuned for more exciting updates. Happy Gaming.
ok,"Hi, what can we do better to get a 5-star review? If there's anything you'd like to see improved or added, please reach out to us at support@callbreak.com."
